Id,OwnerUserId,Tags,Title,Body,Score,ViewCount,CommentCount,FavoriteCount,AnswerCount,CreationDate,DeletionDate
31229758,497794.0,<spring-cloud><microservices><hystrix><netflix-eureka><netflix-feign>,eureka ill service application instance avoid hystrix circuit breaking,local machine develop simple rest service eureka hystrix support frontend application connect service hystrix command method hystrixcommand annotated method reference feign client feign client hystrix wrapper start instance spring mvc productservice deliver expect product base identifier hand second throw runtimeexception order simulate system dependency failure frontend side hystrix client product productservice instance call round robin ribbon fashion fact productservice instance deliver exception multiple successive call frontend productservice circuit open instance productservice handle request remove eureka productservice instance problem keep function correctly order avoid hystrix circuit break productservice suppose functionality health indicator resource health productservice change perform extra check system dependency failure stumble custom health check perform help service instance eureka,0,283,3,0.0,0,2015-07-05T11:12:29,0.0
32738322,1178269.0,<web-services><database-design><microservices>,achieve multi tier versioning avoidance,vague confusing title question precisely find answer problem provide software capability web micro service customer develop client app consume service break change service ideally provide version service leave version customer force upgrade tool break change service break change database change database schema support version service simply attach interpreting step version fill gap case mandatory field require good default client provide difficulty discontinue version release version service customer upgrade tool well reduce satisfaction level good solution,0,20,4,0.0,0,2015-09-23T11:26:43,0.0
33805420,2356907.0,<.net><web-services><wcf><soa><microservices>,service registry discovery framework wcf service,service registry discovery framework eureka smarkstack zookeeper doozer search lot wcf service registry discovery framework wcf soap service window build high frequency trading application window application performance key framework help multiple instance service machine dynamically pointer,0,364,2,0.0,0,2015-11-19T13:34:32,0.0
36418827,1978285.0,<proxy><spring-boot><spring-cloud><microservices><netflix-eureka>,eureka proxy,follow situation instance eureka server proxy communicate public urls parameter auto generate affect proxy map port http port eureka server auto discover application aware context path configure eureka trouble provide relevant communicate peer properly hand register eureka instance follow configuration example problem eureka handle context path proxy path properly assume url wrong chance method handle face circumstance advance thought benjamin,0,1096,9,0.0,0,2016-04-05T06:37:07,0.0
37204422,6048572.0,<javascript><node.js><nodes><microservices><mariasql>,handle error exception node js,write code node js connect mariadb db seneca micro service handle error exception user proper message help type error handle code,0,124,2,0.0,0,2016-05-13T07:58:38,0.0
37142921,6316074.0,<java><nginx><load-balancing><microservices><virtual-ip-address>,microservice url redirection url vip,break monolithic service small microservice microservice host api machine endpoint vip monolithic service client change base api request vip redirect request appropriate microservice service vip achieve,0,506,2,0.0,0,2016-05-10T15:29:11,0.0
34174551,4049525.0,<java><spring><spring-cloud><microservices>,testing spring cloud service service call,wonder good test service service call currently service reside separate module cat service dog service order test call dog service cat service include cat service dog service testing test class well serious flaw,0,161,2,0.0,0,2015-12-09T09:01:23,0.0
37955191,2740346.0,<jhipster><microservices>,jhipster forbidden error access microservice gateway,follow recommendation organize architecture microservice application setting microservice access gateway secret jhipster security authentication jwt secret component gateway microservice registry consume microservice gateway receive access deny message forbid test gateway interest thing test direct access microservice postman route access gateway work well case consume microservice datum gateway api receive error microservice configuration microserviceconfiguration class antmatcher api authenticate case test postman pass valid jwt token specific case work header annotation storageserviceclient edit solve authentication issue create requestinterceptor,0,1290,7,0.0,0,2016-06-21T21:50:57,0.0
54698850,7345195.0,<database><microservices><release><privileges>,microservice update database privilege release,big service database install version service table add database schema handle update role privilege table add release responsibility database administrator responsibility service good practice add privilege role release,0,13,0,0.0,0,2019-02-14T20:49:27,0.0
54801643,5033630.0,<mongodb><rest><spring-boot><microservices><mongodb-oplog>,mongo oplog monitor contextrefreshevent,create class implement execute mongo oplog monitor code create check fire event issue application startup process wait point image log state tomcat start rest application port mongo oplog monitoring work rest remove component rest application work mongo oplog monitoring logic wrong direct correct,0,15,0,0.0,0,2019-02-21T07:39:11,0.0
54684820,7209628.0,<node.js><angular><spring><microservices>,send generate jasperreports array bytes spring node js angular properly,angularjs controller suppose download pdf java microservice response array byte return pdf blank figure node js regard return array byte properly controller generatepdf method invoke suppose download pdf angularjs service call controller node js express responsible controller responsible post request service responsible generate jasperreport pdf spring boot app spring boot microservice return array byte response properly send node express angularjs download postman post request directly microservice proper pdf,0,23,0,0.0,0,2019-02-14T07:03:23,0.0
54843730,10114335.0,<spring-boot><microservices><graylog2><graylog>,microservice log grayog,graylog log microservice send log kafka log receive log graylog gelf kafka log receive graylogs throw jackson exception format log graylog parse log aggregate log microservice,0,23,0,0.0,0,2019-02-23T16:41:27,0.0
54839397,1797006.0,<dns><routes><cross-domain><subdomain><microservices>,frontend backend decoupling provide domain,assume frontend monolithic backend consist microservice serve rest request api gateway wonder good idea url backend route frontend domain backend subdomain case serve domain route question frontend api gateway order save resource certificate route place separation domain require add cor header advantage route approach minimize couple good practice deep impact idea microservice frontend backend serve kubernetes cluster,0,25,0,0.0,0,2019-02-23T07:47:48,0.0
54696281,5759445.0,<javascript><java><reactjs><spring-boot><microservices>,spring boot microservice ui integration reactjs throw error,microservice customerservice orderservice separate individual ui server reactjs ui ui reactjs script file cdn url integrate ui single ui create spring boot application reactjs zuul proxy create tab customer order click customer tab call ajax axio ui customer order response render throw error div iframe remove div iframe work customer ui customer jsp customer js integration ui jsp app js reactjs dom fb react dom js wrong render response reactdom render htmldata figure completely react js click customer tab ajax call customer ui render customer order point wrong,0,50,0,0.0,0,2019-02-14T17:46:15,0.0
54695476,763311.0,<microservices><jhipster><netflix-zuul><hystrix><netflix-ribbon>,gateway timeout service endpoint,scenario jhipster microservice architecture gateway question service accept large file upload upload work order accept large file keep increase ribbon zuul hystrix timeout globally endpoint service api file upload intercept gateway timeout filter hystrix ignore route,0,54,0,0.0,0,2019-02-14T16:59:21,0.0
54874354,7688519.0,<angular><spring><spring-boot><oauth-2.0><microservices>,authorize spring boot app access resource oauth client,create follow apps front angular bootstrap material spring boot microservice zuul gateway main entry point backend service front app currently simple authentication mechanism oauth integration provider implement authorization token generate store local state eventually allow oauth login rest call authorization bearer header add interceptor app request pass zuul gateway gateway filter validate token generate custom jwt token downstream microservice microservice custom jwt token authenticate request oauth client integration case authenticate user authorize oauth application call api service provider idea interaction provider service app user action front app rest call app authorization header pass backend gateway authenticates user propagate custom jet token request appropriate microservice microservice process request eventually call call third party api prior oauth authorization info access refresh token current user result process micro service send front call third party provider proxie backend problem micro services enable oauth client functionality enableoauth client spring boot app redirect authorization url provider cor error browser generate url fine work open browser work problem callback url url protect backend app callback identify user call save access refresh token current user data question proper good practice provide type functionality authorization carry front app send access refresh token storage backend implement callback front app,0,63,0,0.0,0,2019-02-25T20:42:14,0.0
54701213,3417411.0,<kubernetes><microservices><kubernetes-ingress><microk8s>,route request kubernetes ingress controller telepresence expose port base subdomain rule,target microservice environment allow engineer work specific microservice test local code service version kubernetes cloud cluster specific subdomain detail check telepresence basically allow local microservice communicate service cluster vice versa imagine follow cloud service service service local service entry point kubernetes ingress controller service cloud version subdomain ingress route subdomain host service cloud service local service cloud service allow traffic expose port telepresence ingress controller base subdomain rule route specific version service live cloud,0,64,0,0.0,0,2019-02-15T00:45:06,0.0
54871028,469010.0,<json><http><compression><microservices>,http compression high speed lan,high speed lan worth compression gzip service talk json http cpu bottleneck lan gzip consume cpu producer consumer side,0,16,1,0.0,0,2019-02-25T16:50:59,0.0
54809335,753943.0,<microservices><api-gateway><ocelot>,api gateway production,api api gateway front happen ocelot configuration local environment api kestrel docker production system instal iis problem locan environment api nad api gateway localhost nad port server instal website application inside website website address xyz api address xyz api api gateway quesrtion api gateway second issue work configuration server xyz api api work work xyz apigateway api work work,0,51,2,0.0,0,2019-02-21T14:25:02,0.0
54808301,8398143.0,<java><spring><spring-boot><apache-kafka><microservices>,spring cloud stream microservice,roam internet explanation confuse set microservice architecture microservice communicate asynchronously kafka case follow tutorial spring cloud stream order connect kafka microservice write msg topic read topic microservice integrate mecanism microservice integrate spring cloud stream kafka contact unlogical consul service discovery integrate spring cloud stream project error,0,87,2,0.0,0,2019-02-21T13:30:23,0.0
54765675,7245279.0,<ruby><graphql><microservices>,aggregate multiple query root type micro service ruby,project build micro service front learn technology pretty concept micro service three module api umbrella directory respective type resolver locate module type aggregate field manner module sort entry point schema problem solution style remove well solution search bit work direction code,0,52,4,0.0,0,2019-02-19T11:50:31,0.0
54690734,4829182.0,<express><ubuntu><microservices><docker-swarm><traefik>,docker swarm custom container traefik,set docker swarm traefik digital ocean follow work entirely add custom container simply add total express app serve restful api handle resource service access specific subdomain connection refuse error docker stack yml file domain three domain work fine whoami container respond info connection refuse error user domain note domain actual domain live point digitalocean cluster hide privacy reason entrypoint user service confirm service listen port output fetch log traefik toml config file case container traefik dashboard local environment feel small detail prevent service work correctly pointer extremely appreciate,0,146,5,0.0,0,2019-02-14T12:45:28,0.0
54865689,10249376.0,<asp.net><asp.net-mvc-4><asp.net-web-api><microservices>,integrate microservice asp net framework,application framework asp net monolithic approach integrate application micro service create data eventual consistency modularity integrate micro service monolithic migrate framework help scenario,0,28,7,0.0,0,2019-02-25T11:57:07,0.0
44761730,2580058.0,<java><microservices><spring-cloud><netflix-eureka><spring-hateoas>,create hateoas resource link remote service method,scenario eureka server service spring boot app micro service register eureka server service provide rest hateoas endpoint app provide service method response message link remote rest endpoint service idea dynamicserviceinstanceprovider traverson finally link object work wrong well link remote endpoint,0,244,2,0.0,0,2017-06-26T14:12:16,0.0
44800240,2371715.0,<security><microservices><netflix-eureka><netflix-zuul><netflix-ribbon>,zuul ribbon eureka combo ideal edge service,ideal soln security smell register case advisable separate,0,61,3,0.0,0,2017-06-28T10:42:26,0.0
30621142,4969637.0,<java><rest><wicket><wicket-6><microservices>,apache wicket externalize component,apache wicket application grow grow externalize component kind ui microservice build wicket application deliver follow content json xml call external component question input html render component deliver course call render component fly backend call good deliver js script wicket render component idea,0,181,4,0.0,0,2015-06-03T13:11:45,0.0
42840954,1682401.0,<asp.net><rest><asp.net-web-api><asp.net-core><microservices>,asp net core restful api communication synchronous http,multiple restful api component implement asp net core event drive design messaging broker service keep simple restful independent component independent asp net core project publish iis addition identity server provider navigation retrieve menus database authorization deal permission security notification identity server provide jwt access token authenticated user authorize access api apart external communication client api api gateway handle client request sort communication internally good example menu user user access token successful log request menu view request forward navigation api navigation api issue internal request authorization api order check permission user limit access menu manage communication common library call service proxy api urls hard code cs file concept authorizationproxy proxy issue request api interprocess communication handle case,0,420,3,0.0,0,2017-03-16T17:28:48,0.0
46720998,1040402.0,<json><protocol-buffers><microservices><thrift><grpc>,generate thrift structure json string thrift file protobuf,write microservice system golang define transport inter service communication idea service communicate json string object type service receive call extract datum json string process expect data structure base object type method add overhead create json string structure time rpc call scope rpc thrift grpc decision depend fact provide well pass datum client server minimal overhead basically rpc provide runtime transport structure creation,0,65,2,0.0,0,2017-10-13T00:58:46,0.0
46725353,2549398.0,<c#><.net><microservices><soa><sample>,monolithic soa sample application transformation microservice,project university sample application net environment design monolith service orient architecture sample application approach transform microservice architecture problem find sample big simple hello application bonus application rest backend service asp net web api point exist sample sure belong stack overflow find better fitting stack exchange community,0,215,2,0.0,0,2017-10-13T08:08:05,0.0
46642612,4814109.0,<spring-boot><load-balancing><microservices><netflix><netflix-ribbon>,distribute load spring boot microservice instance,example limit number request process instance rest process instance require configuration change relate ribbon,0,60,3,0.0,0,2017-10-09T09:06:11,0.0
